  ,Data    (dd/mm/aaaa),Hora local (hh:mm),Hora UTC (hh:mm),Tmáx (°C),Tmin (°C),Tar (°C),TH2O ev (°C),U2 (m/s),Direção do vento,Tar 2 (°C),Prp (mm/dia),Soma de Prp (mm/dia),pluv. alternativo (ml),Ev (mm),Ev (mm)*,Patm (mbar),Tmáx Real (ºC),Tmin Real (ºC),Tméd (ºC),esTU,ea,es,UR (%),Ev (mm/dia),Tanque,Evento,Visibilidade,Nuvem,Cobertura do céu,Observadores
Terça,16/06,09:00,12:00,"34,80","24,30","29,60","26,60",,L,,"0,00",,,"68,42",,,"34,00","24,30","29,15","34,82","32,42","41,46","78,20","4,74",,1,1,2,2,Amanda e Alice
Terça,16/06,15:00,18:00,,,"33,80","33,00",,NE,,,,,,,,,,,"50,30","49,66","52,60","94,41",,,1,1,2,2,Juliane
Quarta,17/06,09:00,12:00,"34,60","24,40","29,40","27,00",,L,,"7,25",,,"71,12",,,"34,80","24,40","29,60","35,65","33,73","40,99","82,29","4,55",,1,1,3,2,Murillo
Quarta,17/06,15:00,18:00,,,"33,40","30,20",,S,,,,,,,,,,,"42,92","40,36","51,44","78,46",,,1,1,2,2,Murillo
Quinta,18/06,09:00,12:00,"34,20","22,80","29,20","26,40",,N,,"7,00",,,"73,96",,,"34,60","22,80","28,70","34,41","32,17","40,52","79,41","4,16",,1,1,1,1,Amanda e Jhennifer
Quinta,18/06,15:00,18:00,,,"33,00","29,20",,L,,,,,,,,,,,"40,52","37,48","50,30","74,51",,,1,1,1,2,SABRINA 
Sexta,19/06,09:00,12:00,"34,80","22,40","29,60","26,80",,L,,"3,26",,,"69,36",,,"34,20","22,40","28,30","35,23","32,99","41,46","79,57","7,86",,1,1,3,1,Pedro
Sexta,19/06,15:00,18:00,,,"33,20","29,20",,S,,,,,,,,,,,,,,,,,111,,,,
Sábado ,20/06,09:00,12:00,"33,80","23,10","29,00","26,40",,L,,"11,25",,,"75,28",,,"34,80","23,10","28,95","34,41","32,33","40,05","80,73","5,33",,1,2,1,1,Amanda 
Sábado ,20/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,21/06,09:00,12:00,"33,60","22,60","29,40","27,00",,L,,"1,25",,,"73,36","74,78",,"33,80","22,60","28,20","35,65","33,73","40,99","82,29","3,17",,1,1,3,1,Murillo
Domingo,21/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,22/06,09:00,12:00,"34,20","23,80","29,40","27,00",,L,,"16,50",,,"86,44",,,"33,60","23,80","28,70","35,65","33,73","40,99","82,29","4,84",,1,1,3,1,Murillo
Segunda,22/06,15:00,18:00,,,"33,00","28,40",,L,,,,,,,,,,,"38,68","35,00","50,30","69,60",,,1,1,1,2,Sabrina
Terça,23/06,09:00,12:00,"33,80","24,20","30,20","27,60",,L,,"0,00",,,"80,70",,,"34,20","24,20","29,20","36,92","34,84","42,92","81,19","5,74",,1,1,3,1,Murillo
Terça,23/06,15:00,18:00,,,"33,80","28,80",,L,,,,,,,,,,,"39,59","35,59","52,60","67,67",,,1,1,1,2,Jhennifer
Quarta,24/06,09:00,12:00,"34,80","24,20","30,20","27,60",,NE,,"2,50",,,"77,62",,,"33,80","24,20","29,00","36,92","34,84","42,92","81,19","5,58",,1,1,2,2,Murillo
Quarta,24/06,15:00,18:00,,,"33,20","29,80",,L,,,,,,,,,,,"41,94","39,22","50,86","77,11",,,1,1,1,3,Jhennifer
Quinta,25/06,09:50,12:00,"34,20","24,20","27,40","26,00",,L,,"17,00",,,"89,92",,,"34,80","24,20","29,50","33,61","32,49","36,50","89,03","4,70",,1,1,2,2,Jhennifer
Quinta,25/06,15:00,18:00,,,"33,80","28,60",,L,,,,,,,,,,,"39,14","34,98","52,60","66,50",,,1,1,1,2,Juliane
Sexta,26/06,09:00,12:00,"35,00","23,20","29,40","26,80",,L,,"18,50",,,"100,00","75,56",,"34,20","23,20","28,70","35,23","33,15","40,99","80,89",,,1,1,3,2,Murillo e Pedro
Sexta,26/06,15:00,18:00,,,"32,40","28,00",,L,,,,,,,,,,,"37,80","34,28","48,63","70,49",,,1,1,2,2,Murillo
Sábado ,27/06,09:00,12:00,"33,20","24,10","27,80","25,80",,L,,"0,00",,,"70,52",,,"35,00","24,10","29,55","33,22","31,62","37,36","84,63","5,04",,,,,,Sabrina
Sábado ,27/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,28/06,09:00,12:00,"33,00","24,10","28,60","26,40",,LE,,"0,00",,,"62,02","78,14",,"33,20","24,10","28,65","34,41","32,65","39,14","83,44","8,50",,1,1,1,2,Sabrina
Domingo,28/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,29/06,09:00,12:00,"32,60","23,80","27,40","25,80",,L,,"38,75",,,"100,00","75,62",,"33,00","23,80","28,40","33,22","31,94","36,50","87,51","0,77",,1,1,2,2,Murillo
Segunda,29/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,30/06,09:00,12:00,"31,80","22,60","29,60","26,80",,L,,"8,75",,,"78,18",,,"32,60","22,60","27,60","35,23","32,99","41,46","79,57","6,19",,1,1,3,2,Sabrina
Terça,30/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,01/07,09:00,12:00,"32,80","23,10","29,40","26,80",,NE,,"0,00",,,"74,44",,,"31,80","23,10","27,45","35,23","33,15","40,99","80,89","3,74",,1,1,3,1,Jhennifer
Quarta,01/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,02/07,09:00,12:00,"33,80","24,7","29,40","26,80",,N,,"3,00",,,"73,36",,,"32,80","24,70","28,75","35,23","33,15","40,99","80,89","4,08",,1,1,1,1,aMJANDA
Quinta,02/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,03/07,09:00,12:00,"34,60","24,40","28,60","26,40",,L,,"21,25",,,"84,72",,,"33,80","24,40","29,10","34,41","32,65","39,14","83,44","9,89",,1,1,3,2,Juliane
Sexta,03/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,04/07,09:00,12:00,"33,80","23,90","29,20","27,00",,L,,"1,00",,,"80,36",,,"34,60","23,90","29,25","35,65","33,89","40,52","83,64","5,36",,1,1,3,2,Sabrina
Sábado,04/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,05/07,09:30,12:00,"34,00","24,80","28,40","26,40",,L,,"18,50",,,"90,10","75,24",,"33,80","24,80","29,30","34,41","32,81","38,68","84,82","8,76",,1,1,3,2,Juliane
Domingo,05/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,06/07,09:00,12:00,"32,40","22,90","28,60","26,60",,L,,"22,00",,,"88,64",,,"34,00","22,90","28,45","34,82","33,22","39,14","84,89","8,60",,1,1,1,1,Jhennifer
Segunda,06/07,15:00,18:00,,,"32,80","28,00",,L,,,,,,,,,,,"37,80","33,96","49,73","68,27",,,1,1,1,1,Amanda
Terça,07/07,09:00,12:00,"33,60","23,20","29,80","27,00",,L,,"3,75",,,"87,52",,,"32,40","23,20","27,80","35,65","33,41","41,94","79,66","4,87",,1,1,3,2,Murillo
Terça,07/07,15:00,18:00,,,"32,60","29,00",,O,,,,,,,,,,,"40,05","37,17","49,18","75,59",,,1,1,1,2,Sabrina
Quarta,08/07,09:00,12:00,"34,40","23,50","29,80","27,00",,L,,"0,00",,,"83,56",,,"33,60","23,50","28,55","35,65","33,41","41,94","79,66","3,96",,1,1,3,1,Alice
Quarta,08/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,09/07,09:00,12:00,"34,20","23,00","28,80","26,60",,L,,"21,25",,,"100,00","76,62",,"34,40","23,00","28,70","34,82","33,06","39,59","83,51",,,1,1,2,2,Murillo
Quinta,09/07,15:00,18:00,,,"32,40","28,20",,L,,,,,,,,,,,"38,24","34,88","48,63","71,72",,,1,1,2,1,Jhennifer
Sexta,10/07,09:00,12:00,"33,60","23,80","29,00","26,40",,L,,"0,00",,,"72,16",,,"34,20","23,80","29,00","34,41","32,33","40,05","80,73","4,46",,1,1,3,2,Pedro
Sexta,10/07,15:00,18:00,,,"31,20","27,40",,L,,,,,,,,,,,"36,50","33,46","45,44","73,63",,,1,1,1,2,Sabrinaa
Sábado,11/07,09:00,12:00,"33,20","22,40","29,00","26,60",,L,,"0,00",,,"67,20",,,"33,60","22,40","28,00","34,82","32,90","40,05","82,15","4,96",,1,1,2,2,AMANDA
Sábado,11/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,12/07,09:00,12:00,"33,00","23,3","29,00","26,60",,N,,"0,00",,,"64,50",,,"33,20","23,30","28,25","34,82","32,90","40,05","82,15","2,70",,1,1,1,1,AMANDA
Domingo,12/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,13/07,09:00,12:00,"33,80","22,90","30,00","28,40",,N,,"5,75",,,"64,82",,,"33,00","22,90","27,95","38,68","37,40","42,43","88,16","5,43",,1,2,1,1,Amanda
Segunda,13/07,15:00,18:00,,,"33,80","30,40",,L,,,,,,,,,,,"43,41","40,69","52,60","77,36",,,1,1,2,2,AMANDA
Terça,14/07,09:00,12:00,"34,80","24,10","29,60","28,00",,N,,"6,00",,,"67,46",,,"33,80","24,10","28,95","37,80","36,52","41,46","88,07","3,36",,1,1,2,2,Murillo e Pedro
Terça,14/07,15:00,18:00,,,"33,20","30,20",,L,,,,,,,,,,,"42,92","40,52","50,86","79,66",,,1,1,1,2,Sabrina
Quarta,15/07,09:00,12:00,"33,80","23,10","29,00","27,30",,L,,"1,50",,,"65,18",,,"34,80","23,10","28,95","36,28","34,92","40,05","87,19","3,78",,1,1,3,2,Murilo e Alice
Quarta,15/07,15:00,18:00,,,"33,00","30,00",,L,,,,,,,,,,,"42,43","40,03","50,30","79,58",,,1,1,1,2,Juliane
Quinta,16/07,09:00,12:00,"33,20","23,60","29,00","27,30",,L,,"0,00",,,"58,22","73,00",,"33,80","23,60","28,70","36,28","34,92","40,05","87,19","6,96",,1,1,2,2,Murillo 
Quinta,16/07,15:00,18:00,,,"31,60","29,00",,L,,,,,,,,,,,"40,05","37,97","46,48","81,70",,,1,2,3,2,Amanda
Sexta,17/07,09:00,12:00,"32,00","24,70","29,20","27,80",,NE,,"0,00",,,"71,74",,,"33,20","24,70","28,95","37,36","36,24","40,52","89,44","1,26",,1,1,1,2,Jhennifer
Sexta,17/07,15:00,18:00,,,"32,80","29,80",,L,,,,,,,,,,,"41,94","39,54","49,73","79,51",,,1,1,2,2,Murillo
Sábado,18/07,09:00,12:00,"33,20","23,40","28,80","27,60",,L,,"0,00",,,"66,32","75,06",,"32,00","23,40","27,70","36,92","35,96","39,59","90,84","5,42",,1,1,3,1,Murillo
Sábado,18/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,19/07,09:00,12:00,"33,20","23,10","29,00","26,40",,L,,"6,25",,,"69,38",,,"33,20","23,10","28,15","34,41","32,33","40,05","80,73","11,93",,1,1,2,2,
Domingo,19/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,20/07,09:00,12:00,"34,40","24,00","29,40","27,40",,L,,"17,75",,,"83,12",,,"33,20","24,00","28,60","36,50","34,90","40,99","85,14","4,01",,1,1,2,2,Murillo
Segunda,20/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,21/07,09:00,12:00,"34,60","24,60","28,80","27,80",,L,,"0,00",,,"80,10",,,"34,40","24,60","29,50","37,36","36,56","39,59","92,34","3,02",,1,1,2,2,Juliane
Terça,21/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,22/07,09:00,12:00,"33,60","23,60","28,40","27,00",,L,,"0,00",,,"72,10",,,"34,60","23,60","29,10","35,65","34,53","38,68","89,26","8,00",,1,1,2,2,Juliane
Quarta,22/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,23/07,09:00,12:00,"34,00","23,20","29,40","29,00",,NE,,"3,00",,,"72,16",,,"33,60","23,20","28,40","40,05","39,73","40,99","96,94","2,94",,1,1,2,2,Juliane
Quinta,23/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,24/07,09:00,12:00,"34,80","23,70","30,00","27,20",,N,,"0,00",,,"68,80",,,"34,00","23,70","28,85","36,07","33,83","42,43","79,74","3,36",,1,2,2,2,Amanda
Sexta,04/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,25/07,09:00,12:00,"34,20","21,80","28,60","28,00",,L,,"7,75",,,"70,92",,,"34,80","21,80","28,30","37,80","37,32","39,14","95,35","5,63",,1,1,3,2,Murilo
Sábado,25/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,26/07,09:00,12:00,"35,00","22,80","29,20","28,40",,L,,"0,00",,,"64,18",,,"34,20","22,80","28,50","38,68","38,04","40,52","93,90","6,74",,1,1,3,1,Juliane 
Domingo,26/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,27/07,09:00,12:00,"34,60","23,90","31,00","27,60",,L,,"0,00",,,"61,90",,,"35,00","23,90","29,45","36,92","34,20","44,92","76,14","2,28",,1,1,2,2,Sabrina
Segunda,27/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,28/07,09:00,12:00,"34,80","23,60","29,60","28,00",,L,,"0,00",,,"56,64","74,38",,"34,60","23,60","29,10","37,80","36,52","41,46","88,07","5,26",,1,1,2,2,Murillo
Terça,28-07/2020,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,29/07,09:00,12:00,"33,80","22,30","28,80","27,20",,L,,"0,25",,,"74,50",,,"34,80","22,30","28,55","36,07","34,79","39,59","87,87","0,13",,1,1,2,2,Sabrina
Quarta,29/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,30/07,09:00,12:00,"34,00","23,30","29,00","26,00",,L,,"0,00",,,"69,72",,,"33,80","23,30","28,55","33,61","31,21","40,05","77,93","4,78",,1,1,2,2,Sabrina
Quinta,30/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,31/07,09:00,12:00,"35,20","23,30","29,00","26,00",,L,,"4,75",,,"69,04",,,"34,00","23,30","28,65","33,61","31,21","40,05","77,93","5,43",,1,1,2,2,Murillo
Sexta,31/07,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,01/08,09:00,12:00,"33,20","22,00","29,00","27,00",,L,,"21,75",,,"81,32",,,"35,20","22,00","28,60","35,65","34,05","40,05","85,01","9,47",,1,1,2,2,sABRINA
Sábado,01/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,02/08,09:00,12:00,"33,80","22,60","29,60","27,40",,L,,"12,00",,,"88,16","75,42",,"33,20","22,60","27,90","36,50","34,74","41,46","83,77","5,16",,1,1,2,2,Murillo
Domingo,02/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,03/08,09:00,12:00,"34,60","24,10","29,20","28,40",,L,,"6,75",,,"78,92",,,"33,80","24,10","28,95","38,68","38,04","40,52","93,90","3,25",,1,2,1,1,Amanda
Segunda,03/08,15:00,18:00,,,"33,00","27,60",,L,,,,,,,,,,,"36,92","32,60","50,30","64,82",,,1,1,3,2,Murillo
Terça,04/08,09:00,12:00,"33,80","23,90","29,60","28,40",,L,,"0,00",,,"72,62",,,"34,60","23,90","29,25","38,68","37,72","41,46","90,99","6,30",,1,1,2,2,Murillo
Terça,04/08,15:00,18:00,,,"33,20","31,60",,L,,,,,,,,,,,"46,48","45,20","50,86","88,86",,,1,1,1,2,jULIANE
Quarta,05/08,09:00,12:00,"34,20","23,40","28,60","28,20",,L,,"0,00",,,"67,22",,,"33,80","23,40","28,60","38,24","37,92","39,14","96,89","5,40",,1,1,3,2,Amanda e Alice
Quarta,05/08,15:00,18:00,,,"33,20","27,80",,Su,,,,,,,,,,,"37,36","33,04","50,86","64,95",,,1,1,2,1,Amanda 
Quinta,06/08,09:00,12:00,"35,00","23,20","29,60","26,20",,NE,,"0,00",,,"62,02","75,04",,"34,20","23,20","28,70","34,01","31,29","41,46","75,47","5,20",,1,1,2,2,Jhennifer
Quinta,06/08,15:00,18:00,,,"33,00","27,00",,SE,,,,,,,,,,,"35,65","30,85","50,30","61,34",,,1,1,2,1,juLIANE
Sexta,07/08,09:00,12:00,"35,20","23,20","29,00","26,40",,N,,"19,75",,,"94,08","82,12",,"35,00","23,20","29,10","34,41","32,33","40,05","80,73","0,71",,1,1,1,2,Pedro
Sexta,07/08,15:00,18:00,,,"32,80","27,20",,L,,,,,,,,,,,"36,07","31,59","49,73","63,52",,,1,1,2,2,Sabrina
Sábado,08/08,09:00,12:00,"35,00","23,00","29,60","26,20",,N,,"0,00",,,"78,20",,,"35,20","23,00","29,10","34,01","31,29","41,46","75,47","3,92",,1,2,3,2,Amanda
Sábado,08/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,09/08,09:00,12:00,"34,40","23,30","28,60","26,00",,NE,,"5,00",,,"78,94",,,"35,00","23,30","29,15","33,61","31,53","39,14","80,57","4,26",,1,1,2,2,Juliane
Domingo,09/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,10/08,09:00,12:00,"34,60","23,10","29,00","26,20",,NE,,"0,00",,,"73,88",,,"34,40","23,10","28,75","34,01","31,77","40,05","79,32","5,06",,1,1,1,2,Juliane
Segunda,10/08,15:00,18:00,,,"33,60","29,70",,L,,,,,,,,,,,"41,70","38,58","52,01","74,18",,,1,1,2,2,Amanda
Terça,11/08,09:00,12:00,"34,20","24,10","29,20","26,20",,L,,"0,00",,,"71,60",,,"34,60","24,10","29,35","34,01","31,61","40,52","78,02","2,28",,1,1,2,2,Jhennifer
Terça,11/08,15:00,18:00,,,"34,20","28,60",,N,,,,,,,,,,,"39,14","34,66","53,78","64,44",,,1,1,1,2,Juliane
Quarta,12/08,09:00,12:00,"35,00","23,40","29,40","26,20",,N,,"0,00",,,"66,52",,,"34,20","23,40","28,80","34,01","31,45","40,99","76,73","5,08",,1,2,3,2,AMANDA
Quarta,12/08,15:00,18:00,,,"32,00","26,20",,NE,,,,,,,,,,,"34,01","29,37","47,54","61,78",,,1,2,3,2,Amanda
Quinta,13/08,09:00,12:00,"34,00","22,80","29,60","26,20",,L,,"0,00",,,"61,02",,,"35,00","22,80","28,90","34,01","31,29","41,46","75,47","5,50",,1,1,3,1,Sabrina
Quinta,13/08,15:00,18:00,,,"34,00","27,00",,N,,,,,,,,,,,"35,65","30,05","53,19","56,50",,,1,1,1,1,aMANDA
Sexta,14/08,09:00,12:00,"35,00","23,40","30,20","26,80",,L,,"0,00",,,"55,40",,,"34,00","23,40","28,70","35,23","32,51","42,92","75,76","5,62",,1,1,2,2,AMANDA
Sexta,14/08,15:00,18:00,,,"33,60","27,40",,L,,,,,,,,,,,"36,50","31,54","52,01","60,63",,,1,1,1,2,Pedro
Sábado,15/08,09:00,12:00,"34,80","23,60","29,80","26,40",,N,,"0,00",,,"50,80","82,56",,"35,00","23,60","29,30","34,41","31,69","41,94","75,57","4,60",,1,1,2,2,aMANDA
Sábado,15/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,16/08,09:00,12:00,"34,40","23,20","29,00","26,00",,N,,"0,00",,,"75,80",,,"34,80","23,20","29,00","33,61","31,21","40,05","77,93","6,76",,1,1,3,2,Amanda
Domingo,16/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,17/08,09:00,12:00,"34,00","23,40","28,80","26,20",,N,,"15,00",,,"81,80",,,"34,40","23,40","28,90","34,01","31,93","39,59","80,65",,,1,1,3,2,Amanda
Segunda,17/08,15:00,18:00,,,"33,00","27,60",,N,,,,,,,,,,,"36,92","32,60","50,30","64,82",,,1,1,2,1,Amanda
Terça,18/08,09:00,12:00,"33,60","21,90","28,80","26,00",,NE,,"8,25",,,"84,14",,,"34,00","21,90","27,95","33,61","31,37","39,59","79,24","5,91",,1,1,3,1,Pedro
Terça,18/08,15:00,18:00,,,"33,60","27,40",,L,,,,,,,,,,,"36,50","31,54","52,01","60,63",,,1,1,1,2,Sabrina
Quarta,19/08,09:00,12:00,"34,20","24,30","28,60","26,20",,L,,"0,00",,,"77,84",,,"33,60","24,30","28,95","34,01","32,09","39,14","82,00","6,30",,1,1,2,2,Juliane
Quarta,19/08,15:00,18:00,,,"33,20","27,00",,L,,,,,,,,,,,"35,65","30,69","50,86","60,34",,,1,1,2,2,Juliane
Quinta,20/08,09:00,12:00,"35,40","23,50","28,60","26,20",,L,,"0,00",,,"73,96",,,"34,20","23,50","28,85","34,01","32,09","39,14","82,00","3,88",,1,1,1,2,Pedro
Quinta,20/08,15:00,18:00,,,"34,00","29,00",,SU,,,,,,,,,,,"40,05","36,05","53,19","67,79",,,1,1,2,2,AMANDA
Sexta,21/08,09:00,12:00,"34,80","23,50","29,00","26,40",,L,,"0,00",,,"68,52","77,52",,"35,40","23,50","29,45","34,41","32,33","40,05","80,73","5,44",,1,2,3,2,AMANDA
Sexta,21/08,15:00,18:00,,,"33,00","27,60",,L,,,,,,,,,,,"36,92","32,60","50,30","64,82",,,1,1,3,1,aMANDA
Sábado,22/08,09:00,12:00,"34,20","23,10","27,40","24,80",,SE,,"0,00",,,"71,88",,,"34,80","23,10","28,95","31,30","29,22","36,50","80,06","5,64",,1,1,1,1,Juliane
Sábado,22/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,23/08,09:00,12:00,"35,40","22,60","29,40","27,00",,L,,"0,00",,,"66,52",,,"34,20","22,60","28,40","35,65","33,73","40,99","82,29","5,36",,1,1,3,2,Amanda
Domingo,23/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,24/08,09:00,12:00,"35,20","24,00","30,20","25,60",,L,,"0,00",,,"61,60",,,"35,40","24,00","29,70","32,82","29,14","42,92","67,91","4,92",,1,1,2,1,Amanda
Segunda,24/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,25/08,09:00,12:00,"34,00","22,80","29,20","26,40",,N,,"6,00",,,"66,40",,,"35,20","22,80","29,00","34,41","32,17","40,52","79,41","1,20",,1,2,3,2,Amanda
Terça,25/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,26/08,09:00,12:00,"35,80","23,70","29,00","26,00",,N,,"0,00",,,"59,96",,,"34,00","23,70","28,85","33,61","31,21","40,05","77,93","6,44",,1,1,3,2,Amanda
Quarta,26/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,27/08,09:00,12:00,"35,20","22,60","29,20","26,00",,N,,"0,00",,,"54,32",,,"35,80","22,60","29,20","33,61","31,05","40,52","76,64","5,64",,1,1,2,2,Amanda
Quinta,27/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,28/08,09:00,12:00,"35,00","22,40","28,80","25,40",,L,,"0,00",,,"50,48","77,76",,"35,20","22,40","28,80","32,44","29,72","39,59","75,06","3,84",,1,1,1,2,Pedro
Sexta,28/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,29/08,09:00,12:00,"34,40","22,20","28,80","25,80",,N,,"0,00",,,"74,04",,,"35,00","22,20","28,60","33,22","30,82","39,59","77,83","3,72",,1,1,2,2,Amanda
Sábado,29/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,30/08,09:00,12:00,"34,80","29,40","25,80","23,40",,,,"0,00",,,"68,68",,,"34,40","29,40","31,90","28,78","26,86","33,22","80,86","5,36",,1,1,2,2,Amanda
Domingo,30/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,31/08,09:00,12:00,"34,60","23,10","29,00","26,20",,NE,,"0,00",,,"65,04",,,"34,80","23,10","28,95","34,01","31,77","40,05","79,32","3,64",,1,1,1,2,Juliane
Segunda,31/08,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,01/09,09:00,12:00,"36,20","23,00","29,40","26,40",,N,,"0,25",,,"60,82",,,"34,60","23,00","28,80","34,41","32,01","40,99","78,11","4,47",,1,1,2,2,Amanda
Terça,01/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,02/09,09:00,12:00,"35,20","21,50","28,80","25,60",,L,,"7,00",,,"63,44",,,"36,20","21,50","28,85","32,82","30,26","39,59","76,44","4,38",,1,1,3,1,Jhennifer
Quarta,02/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,03/09,09:00,12:00,"36,20","22,40","29,40","25,40",,L,,"0,00",,,"56,20","66,36",,"35,20","22,40","28,80","32,44","29,24","40,99","71,33","7,24",,1,1,3,1,Jhennifer
Quinta,03/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,04/09,09:00,12:00,"35,00","22,00","29,00","26,20",,L,,"1,25",,,"63,14",,,"36,20","22,00","29,10","34,01","31,77","40,05","79,32","4,47",,1,1,1,2,Jhennifer
Sexta,04/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,05/09,09:00,12:00,"35,00","22,40","30,20","26,60",,L,,"0,00",,,"58,78","78,80",,"35,00","22,40","28,70","34,82","31,94","42,92","74,43","4,36",,1,1,2,1,Juliane
Sábado,05/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,06/09,09:00,12:00,"35,40","22,90","28,40","26,00",,NE,,"1,00",,,"72,84",,,"35,00","22,90","28,95","33,61","31,69","38,68","81,92","6,96",,1,1,1,2,Pedro
Domingo,06/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,07/09,09:00,12:00,"35,20","24,00","27,40","24,80",,NE,,"0,00",,,"65,86",,,"35,40","24,00","29,70","31,30","29,22","36,50","80,06","6,98",,1,1,1,2,Juliane
Segunda,07/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,08/09,09:00,12:00,"35,20","21,7","30,00","26,60",,L,,"0,00",,,"63,08","76,72",,"35,20","21,70","28,45","34,82","32,10","42,43","75,67","2,78",,1,1,1,2,Jhennifer e pessoal
Terça,08/09,15:00,18:00,,,"31,80","27,60",,N,,,,,,,,,,,"36,92","33,56","47,01","71,40",,,,,,,"Amanda 1 e 2, Evandro"
Quarta,09/09,09:00,12:00,"34,40","23,30","29,60","26,60",,L,,"0,25",,,"74,42",,,"35,20","23,30","29,25","34,82","32,42","41,46","78,20","2,55",,1,1,2,2,Alice e Evandro
Quarta,09/09,15:00,18:00,,,"34,20","28,80",,SE,,,,,,,,,,,"39,59","35,27","53,78","65,58",,,1,1,2,2,Juliane
Quinta,10/09,09:00,12:00,"35,20","23,00","29,80","26,40",,L,,"0,00",,,"68,08",,,"34,40","23,00","28,70","34,41","31,69","41,94","75,57","6,34",,1,1,1,2,"Jhennifer, Amanda R, Evandro"
Quinta,10/09,15:00,18:00,,,"34,60","27,80",,L,,,,,,,,,,,"37,36","31,92","54,99","58,04",,,1,1,3,1," Juliane, Amanda R e Evandro"
